Tweet,Label
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
"Just give up already, no one cares about anything you say.",other_cyberbullying
